workspace,repo,language,ai_files_found,has_ai_tooling,tools_detected
syscolabs,cinco-workspace,,[],False,[]
syscolabs,react-cinco,javascript,[],False,[]
syscolabs,moxy,,[],False,[]
madmobile,neo-workspace,,[],False,[]
madpayments,madpayments-devices-idtech-neo,,['CLAUDE.md'],True,['claude']
madpayments,mad-payments-vp3350,,['CLAUDE.md'],True,['claude']
madpayments,gitops-payments,,[],False,[]
madmobile,seao,,['.cursor/rules'],True,['cursor']
syscolabs,cakekiosk-kdsapplauncher,,['AGENTS.md'],True,['claude']
syscolabs,pos-os-upgrades,,[],False,[]
syscolabs,gm,,[],False,[]
madmobile,gitops-cake,,[],False,[]
madmobile,restaurant-admin-v2,,"['.cursor/rules', 'AGENTS.md']",True,"['claude', 'cursor']"
madmobile,mad-services-xstore24eu-rl,java,[],False,[]
madpayments,rs2-bankworks-parser-service,,[],False,[]
syscolabs,ditto-sync-agent,,['AGENTS.md'],True,['claude']
madmobile,impl-urban,javascript,[],False,[]
syscolabs,kds-v2,,[],False,[]
madpayments,merchant-service,,[],False,[]
syscolabs,olo,javascript,[],False,[]
madmobile,impl-rl,javascript,[],False,[]
madmobile,marvel-payment-aurus,,[],False,[]
madmobile,cake-pop-automation,javascript,['AGENTS.md'],True,['claude']
madmobile,concierge-associate,javascript,[],False,[]
madmobile,cake-ecs-configs,,[],False,[]
syscolabs,cake-payment-gateway,c#,[],False,[]
madmobile,cloud-shared-services,,[],False,[]
madpayments,cybersource-bin-service,typescript,['CLAUDE.md'],True,['claude']
madmobile,cloud-shared-development,,[],False,[]
syscolabsconf,menu-sync-agent,,[],False,[]
