client,q1_2026,q2_2026,q3_2026,q4_2026,total_52wk,notes
Winmark,0,150000,625000,625000,1400000,Kennedy AI POS delivery; $625K/qtr steady state
Ralph Lauren,350000,315000,63000,305000,1033000,Ongoing; $53-252K periodic
Estee Lauder,46800,0,454800,0,501600,Lumpy; large Q3 payment
Anna Taylor,0,553000,0,0,553000,$20K + $533K
Urban,443368,0,0,0,443368,One-time? $331K + $112K
Signet,0,0,321300,0,321300,Single large invoice
Rack Room,0,317000,0,0,317000,$305K + $12K
Snipes,0,408000,0,0,408000,Single payment
Papa's,142200,60000,0,0,202200,$77K + $65K + $60K
West Marine,0,0,77250,0,77250,
Brooks Brothers,0,20000,20000,20000,60000,$20K periodic
All Other Retail,0,115000,100000,100000,315000,Misc smaller clients
